,title,thumbnail_url,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02
0,【歌ってみた】メルティランドナイトメア【#07】,https://i.ytimg.com/vi/sm4KMKurd8E/mqdefault.jpg,1809.0,1694.0,2332.0,1686.0,1788
1,【歌ってみた】ロボ子、あっかんべーだ　歌ってみた。【オリジナルPV 】,https://i.ytimg.com/vi/e_EqIA6ZWqs/mqdefault.jpg,1209.0,1949.0,1560.0,1413.0,1308
2,レペゼンVTuberラッパーロボ子！【世界クーリッシュ選手権2018】,https://i.ytimg.com/vi/24NBZW9P7_c/mqdefault.jpg,53.0,106.0,44.0,50.0,29
3,【全部美兎】シュガーソングとビターステップ OFF(全部美兎)を…歌ってみた【ロボ子さん】,https://i.ytimg.com/vi/8SRe-pPLaG0/mqdefault.jpg,91.0,136.0,90.0,103.0,91
4,【歌ってみた】ブルーバード【#15】,https://i.ytimg.com/vi/PerzMoTou-k/mqdefault.jpg,2402.0,2251.0,2395.0,2323.0,2248
5,【歌ってみた】夢路らびりんす/うらら迷路帖OP - Short ver -【REALITY】,https://i.ytimg.com/vi/VeWlafLgrMs/mqdefault.jpg,307.0,383.0,307.0,303.0,261
6,【歌ってみた】少年と魔法のロボット【VTuberチャリティーライブ】,https://i.ytimg.com/vi/48DgT4-JYZA/mqdefault.jpg,196.0,282.0,225.0,221.0,180
7,【歌ってみた】創聖のアクエリオン【#17】,https://i.ytimg.com/vi/_8eUrkYNnLY/mqdefault.jpg,13815.0,11176.0,11954.0,11608.0,12143
8,【ロボ子さん×樋口楓】PLATONIC GIRL 【歌ってみた】,https://i.ytimg.com/vi/_cUTVL2Nj6o/mqdefault.jpg,671.0,1311.0,1381.0,930.0,799
9,未練レコード【ときのそら × 40mP】歌ってみた/アキロゼcover,https://i.ytimg.com/vi/Tvx2UWi59pQ/mqdefault.jpg,196.0,185.0,185.0,175.0,162
10,【ロボ子さん×樋口楓】Happy Halloween 【歌ってみた】,https://i.ytimg.com/vi/v6u80eYSLvc/mqdefault.jpg,553.0,630.0,513.0,602.0,592
11,【ロボ子さん】メルティランドナイトメア【オリジナルMV】,https://i.ytimg.com/vi/Klsca1OcwH8/mqdefault.jpg,441.0,479.0,508.0,454.0,406
