,title,thumbnail_url,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17
8,Suisei Channel,https://yt3.ggpht.com/ytc/AKedOLT7D-JlLZGTq6Y95nLxeXG2B-7WMGpFXZ7Qa4iY5w=s240-c-k-c0x00ffffff-no-rj-mo,2995538,2481389,2408692,2343040,2330549
44,Gawr Gura Ch. hololive-EN,https://yt3.ggpht.com/uMUat6yJL2_Sk6Wg2-yn0fSIqUr_D6aKVNVoWbgeZ8N-edT5QJAusk4PI8nmPgT_DxFDTyl8=s240-c-k-c0x00ffffff-no-rj,2698834,1481560,1236226,1037829,945469
11,Shion Ch. 紫咲シオン,https://yt3.ggpht.com/AyUL9W0ltc_aJr_MysuZBx8hRfb1SIVNREgU9kiOO-lqmdhYkEsllmhagertVIwHwa3UAAKy=s240-c-k-c0x00ffffff-no-rj,2297633,1067602,746892,566947,498542
24,Mori Calliope Ch. hololive-EN,https://yt3.ggpht.com/8B_T08sx8R7XVi5Mwx_l9sjQm5FGWGspeujSvVDvd80Zyr-3VvVTRGVLOnBrqNRxZp6ZeXAV=s240-c-k-c0x00ffffff-no-nd-rj,2151391,1974286,3113504,2323971,2121211
53,Aqua Ch. 湊あくあ,https://yt3.ggpht.com/ytc/AKedOLT8eMK0R-4YoVFyKUt3r6jqZA4uq9cHf1hyVv-Oyg=s240-c-k-c0x00ffffff-no-rj,1330536,1305918,1071047,991154,946456
33,Laplus ch. ラプラス・ダークネス - holoX -,https://yt3.ggpht.com/roGS60A8a_lDbVakIg1JU3u3hbtjHSTilMGHMizuPKh7tuoY2nl46raxuW2f_83IKFGMjL6Z=s240-c-k-c0x00ffffff-no-rj,1218682,826143,625223,514911,453612
18,Okayu Ch. 猫又おかゆ,https://yt3.ggpht.com/ytc/AKedOLQ_73r4OXSTiJFypx-hTZq3Z5nTqjlvU0U7oH8B3Q=s240-c-k-c0x00ffffff-no-rj-mo,1002483,1541805,1373240,1265404,1064441
6,Towa Ch. 常闇トワ,https://yt3.ggpht.com/meRnxbRUm5yPSwq8Q5QpI5maFApm5QTGQV_LGblQFsoO0yAV4LI-nSZ70GYwMZ_tbfSa_O8MTCU=s240-c-k-c0x00ffffff-no-rj,900847,740952,902397,972749,843078
39,Kanata Ch. 天音かなた,https://yt3.ggpht.com/TlH8nz5O9UYo5JZ_5fo4JfXdT18N0Ck27wWrulni-c1g5bwes0tVmFiSKICzI1SW7itaTkk9GA=s240-c-k-c0x00ffffff-no-rj,892305,710832,660110,620165,773695
41,Iroha ch. 風真いろは - holoX -,https://yt3.ggpht.com/YK_UCAbw_pFBHSOw_LGWI-WCJDdvMP3y9mmODQ1IFEnNVvcf-M3-q22Db5TLWuAbfboMNFTMIg=s240-c-k-c0x00ffffff-no-rj,890519,334762,266183,653601,360389
48,Chloe ch. 沙花叉クロヱ - holoX -,https://yt3.ggpht.com/_xNtPLKQcQxMTnOr4tAcGz0GEeESsi0bQX9mJEP3fx_50a8GUfUyOG1eyLIld2cCz6GvKABwpQ=s240-c-k-c0x00ffffff-no-rj,823073,424709,398159,385715,455581
14,Polka Ch. 尾丸ポルカ,https://yt3.ggpht.com/ytc/AKedOLSNfuszQyKT1RGn7SaYyefnhGiUZsTsWpmjWD9_vw=s240-c-k-c0x00ffffff-no-rj,541134,465105,420071,381928,359980
7,Takanashi Kiara Ch. hololive-EN,https://yt3.ggpht.com/w7TKJYU7zmamFmf-WxfahCo_K7Bg2__Pk-CCBNnbewMG-77OZLqJO9MLvDAmH9nEkZH8OkWgSQ=s240-c-k-c0x00ffffff-no-rj,511552,436068,508703,446448,377275
30,Marine Ch. 宝鐘マリン,https://yt3.ggpht.com/ytc/AKedOLSM7GhkxA3mNjSi4SWV62Hq7PjM2epq2Br1xGsZDw=s240-c-k-c0x00ffffff-no-rj,497194,454594,446826,436696,446973
36,Koyori ch. 博衣こより - holoX -,https://yt3.ggpht.com/WO7ItKNmy6tW_NQ82g8c1y74CZSw6GsSdynsE5s2csuEok2fHRrAaGcBV3JJO-2BxEOXXA8lvw=s240-c-k-c0x00ffffff-no-rj,483645,281652,223836,191133,185897
51,AZKi Channel,https://yt3.ggpht.com/ytc/AKedOLRQRw-0zclxstcQV7QI-5AKt8YwC-MbWRvX8MYXqA=s240-c-k-c0x00ffffff-no-rj,447511,335704,315273,387407,294603
