,title,videoId,thumbnail_url,youtube_url,image,publishedAt,singer,owner
0,ロキ / AZKi × 桃鈴ねね (Cover),1IIX8hBvVuY,https://i.ytimg.com/vi/1IIX8hBvVuY/mqdefault_live.jpg,https://www.youtube.com/watch?v=1IIX8hBvVuY,,2022-04-06,AZKi Channel,AZKi Channel
1,【HoloID】MEME REVIEW SPECIAL 2ND YEAR ANNIVERSARY !!!!【Ayunda Risu】,rfu1_17DY08,https://i.ytimg.com/vi/rfu1_17DY08/mqdefault_live.jpg,https://www.youtube.com/watch?v=rfu1_17DY08,,2022-04-10,Ayunda Risu Ch. hololive-ID,Ayunda Risu Ch. hololive-ID
2,【ELDEN RING】#11 ラニのイベント進めていくぞい！【獅白ぼたん/ホロライブ】 ※ネタバレ注意,nJB16lAKTXc,https://i.ytimg.com/vi/nJB16lAKTXc/mqdefault_live.jpg,https://www.youtube.com/watch?v=nJB16lAKTXc,,2022-04-09,Botan Ch.獅白ぼたん,Botan Ch.獅白ぼたん
3,【KU100 ASMR】 Let me brush your hair until you fall asleep ♡,GxJnt2PtSUk,https://i.ytimg.com/vi/GxJnt2PtSUk/mqdefault.jpg,https://www.youtube.com/watch?v=GxJnt2PtSUk,,2022-04-09,Ceres Fauna Ch. hololive-EN,Ceres Fauna Ch. hololive-EN
4,【PotionCraft】時間泥棒ゲー！オクスリを錬成するアトリエ系シミュレーション！【沙花叉クロヱ/ホロライブ】,EYTAKeXFTpY,https://i.ytimg.com/vi/EYTAKeXFTpY/mqdefault_live.jpg,https://www.youtube.com/watch?v=EYTAKeXFTpY,,2022-04-10,Chloe ch. 沙花叉クロヱ - holoX -,Chloe ch. 沙花叉クロヱ - holoX -
5,#04【ELDEN RING】ゴドリック戦そして魔法学校入学？【不知火フレア/ホロライブ】※ネタバレあり,ZpJgTbtVDMk,https://i.ytimg.com/vi/ZpJgTbtVDMk/mqdefault_live.jpg,https://www.youtube.com/watch?v=ZpJgTbtVDMk,,2022-04-10,Flare Ch. 不知火フレア,Flare Ch. 不知火フレア
6,【OVERWATCH】full stack cute girl team,BJnOn8_H_Z4,https://i.ytimg.com/vi/BJnOn8_H_Z4/mqdefault.jpg,https://www.youtube.com/watch?v=BJnOn8_H_Z4,,2022-04-09,Gawr Gura Ch. hololive-EN,Gawr Gura Ch. hololive-EN
7,【雑談】ねえ、のどかちゃん。新学期いってきてくれない？？？【ホロライブ/はあちゃま】,xWDCz6A-iRI,https://i.ytimg.com/vi/xWDCz6A-iRI/mqdefault_live.jpg,https://www.youtube.com/watch?v=xWDCz6A-iRI,,2022-04-10,HAACHAMA Ch 赤井はあと,HAACHAMA Ch 赤井はあと
8,【OVERWATCH】HoloHeroes!!,23J6yRxLdd4,https://i.ytimg.com/vi/23J6yRxLdd4/mqdefault.jpg,https://www.youtube.com/watch?v=23J6yRxLdd4,,2022-04-10,IRyS Ch. hololive-EN,IRyS Ch. hololive-EN
9,ちょっとあざとい／天音かなた(cover),rmWKzc_Nmvs,https://i.ytimg.com/vi/rmWKzc_Nmvs/mqdefault.jpg,https://www.youtube.com/watch?v=rmWKzc_Nmvs,,2022-04-09,Kanata Ch. 天音かなた,Kanata Ch. 天音かなた
