title,videoId,thumbnail_url,youtube_url,image,publishedAt,singer,owner,Skip
【歌ってみた】メルティランドナイトメア【#07】,sm4KMKurd8E,https://i.ytimg.com/vi/sm4KMKurd8E/mqdefault.jpg,https://www.youtube.com/watch?v=sm4KMKurd8E,,2018-04-30,Suisei Channel,Suisei Channel,
【歌ってみた】ロボ子、あっかんべーだ　歌ってみた。【オリジナルPV 】,e_EqIA6ZWqs,https://i.ytimg.com/vi/e_EqIA6ZWqs/mqdefault.jpg,https://www.youtube.com/watch?v=e_EqIA6ZWqs,,2018-05-03,Roboco Ch. - ロボ子,Roboco Ch. - ロボ子,
レペゼンVTuberラッパーロボ子！【世界クーリッシュ選手権2018】,24NBZW9P7_c,https://i.ytimg.com/vi/24NBZW9P7_c/mqdefault.jpg,https://www.youtube.com/watch?v=24NBZW9P7_c,,2018-07-08,Roboco Ch. - ロボ子,Roboco Ch. - ロボ子,
【全部美兎】シュガーソングとビターステップ OFF(全部美兎)を…歌ってみた【ロボ子さん】,8SRe-pPLaG0,https://i.ytimg.com/vi/8SRe-pPLaG0/mqdefault.jpg,https://www.youtube.com/watch?v=8SRe-pPLaG0,,2018-08-04,Roboco Ch. - ロボ子,Roboco Ch. - ロボ子,
【歌ってみた】ブルーバード【#15】,PerzMoTou-k,https://i.ytimg.com/vi/PerzMoTou-k/mqdefault.jpg,https://www.youtube.com/watch?v=PerzMoTou-k,,2018-08-12,Suisei Channel,Suisei Channel,
【歌ってみた】夢路らびりんす/うらら迷路帖OP - Short ver -【REALITY】,VeWlafLgrMs,https://i.ytimg.com/vi/VeWlafLgrMs/mqdefault.jpg,https://www.youtube.com/watch?v=VeWlafLgrMs,,2018-09-20,Miko Ch. さくらみこ,Miko Ch. さくらみこ,
【歌ってみた】少年と魔法のロボット【VTuberチャリティーライブ】,48DgT4-JYZA,https://i.ytimg.com/vi/48DgT4-JYZA/mqdefault.jpg,https://www.youtube.com/watch?v=48DgT4-JYZA,,2018-09-20,Roboco Ch. - ロボ子,Roboco Ch. - ロボ子,
【歌ってみた】創聖のアクエリオン【#17】,_8eUrkYNnLY,https://i.ytimg.com/vi/_8eUrkYNnLY/mqdefault.jpg,https://www.youtube.com/watch?v=_8eUrkYNnLY,,2018-09-24,Suisei Channel,Suisei Channel,
【ロボ子さん×樋口楓】PLATONIC GIRL 【歌ってみた】,_cUTVL2Nj6o,https://i.ytimg.com/vi/_cUTVL2Nj6o/mqdefault.jpg,https://www.youtube.com/watch?v=_cUTVL2Nj6o,,2018-10-08,Roboco Ch. - ロボ子,Roboco Ch. - ロボ子,
未練レコード【ときのそら × 40mP】歌ってみた/アキロゼcover,Tvx2UWi59pQ,https://i.ytimg.com/vi/Tvx2UWi59pQ/mqdefault.jpg,https://www.youtube.com/watch?v=Tvx2UWi59pQ,,2018-10-09,アキロゼCh。Vtuber/ホロライブ所属,アキロゼCh。Vtuber/ホロライブ所属,
