Chanel Name,Name,Group,channel_id,img_url,img
Suisei Channel,星街すいせい,0期生,UC5CwaMl1eIgY8h02uZw7u8A,https://yt3.ggpht.com/ytc/AKedOLT7D-JlLZGTq6Y95nLxeXG2B-7WMGpFXZ7Qa4iY5w=s800-c-k-c0x00ffffff-no-rj,
SoraCh. ときのそらチャンネル,ときのそら,0期生,UCp6993wxpyDPHUpavwDFqgg        ,https://yt3.ggpht.com/ytc/AKedOLRo4fRoifdnGRyvGIOVxiumNdD5MXweEPHLO_SBrA=s800-c-k-c0x00ffffff-no-rj-mo,
Roboco Ch. - ロボ子,ロボ子,0期生,UCDqI2jOz0weumE8s7paEk6g,https://yt3.ggpht.com/ytc/AKedOLT1nccfyEH7yPGHnNqO7C8Ak2jw3scnVdKfSnTe2g=s800-c-k-c0x00ffffff-no-rj,
Miko Ch. さくらみこ,さくらみこ,0期生,UC-hM6YJuNYVAmUWxeIr9FeA,https://yt3.ggpht.com/ytc/AKedOLR4HgNRKHFFp8B_r3Tex0UA3a81s_2Rb9TkVf12BA=s800-c-k-c0x00ffffff-no-rj,
AZKi Channel,AZKi,0期生,UC0TXe_LYZ4scaW2XMyi5_kw,https://yt3.ggpht.com/ytc/AKedOLRQRw-0zclxstcQV7QI-5AKt8YwC-MbWRvX8MYXqA=s800-c-k-c0x00ffffff-no-rj,
フブキCh。白上フブキ,白上フブキ,1期生,UCdn5BQ06XqgXoAxIhbqw5Rg,https://yt3.ggpht.com/ytc/AKedOLQdiN_0b5mfCHcwmIbRZKvpwowneYzu9xL0oCBBMw=s800-c-k-c0x00ffffff-no-rj,
アキロゼCh。Vtuber/ホロライブ所属,アキロゼ,1期生,UCFTLzh12_nrtzqBPsTCqenA,https://yt3.ggpht.com/ytc/AKedOLS57LOo-VajYzEWa_OfnI8CuAgXTXCrXxwcINVqOg=s800-c-k-c0x00ffffff-no-rj,
Mel Channel 夜空メルチャンネル,夜空メル,1期生,UCD8HOxPs4Xvsm8H0ZxXGiBw       ,https://yt3.ggpht.com/lj909MK0P40YuGurbNswbYSywUkDi_7cwpLDzSzRb4R82VKopTGw_zERnZZeFPgrSC6_N6bKbDU=s800-c-k-c0x00ffffff-no-rj,
Matsuri Channel 夏色まつり,夏色まつり,1期生,UCQ0UDLQCjY0rmuxCDE38FGg,https://yt3.ggpht.com/ytc/AKedOLSNQXD5ugR_J9CwxVy4cMcmWR0tdSZmYl2S7NDeOg=s800-c-k-c0x00ffffff-no-rj,
HAACHAMA Ch 赤井はあと,赤井はあと,1期生,UC1CfXB_kRs3C-zaeTG3oGyg,https://yt3.ggpht.com/rNj6bichsOoUjA2N9iXWxInEt9Y2Fo5fhG4S8oR17ip8ouCu_7wmX3PnQxt6OP6Rd9OlYXYcmw=s800-c-k-c0x00ffffff-no-rj,
Subaru Ch. 大空スバル,大空スバル,2期生,UCvzGlP9oQwU--Y0r9id_jnA,https://yt3.ggpht.com/ytc/AKedOLTvmlGMQcpO8IoSpj0iScUs0dPZHvNtj1C7ZQjHbg=s800-c-k-c0x00ffffff-no-rj,
Shion Ch. 紫咲シオン,紫咲シオン,2期生,UCXTpFs_3PqI41qX2d9tL2Rw,https://yt3.ggpht.com/AyUL9W0ltc_aJr_MysuZBx8hRfb1SIVNREgU9kiOO-lqmdhYkEsllmhagertVIwHwa3UAAKy=s800-c-k-c0x00ffffff-no-rj,
Nakiri Ayame Ch. 百鬼あやめ,百鬼あやめ,2期生,UC7fk0CB07ly8oSl0aqKkqFg,https://yt3.ggpht.com/XDGhKwPZcT16Ppg2gQmLHEIYRhw9sY4rqG0HWbeCH68LHkhlVQrrFgxd5hWUuMb2nLfDOhu6=s800-c-k-c0x00ffffff-no-rj,
Choco Ch. 癒月ちょこ,癒月ちょこ,2期生,UC1suqwovbL1kzsoaZgFZLKg,https://yt3.ggpht.com/ytc/AKedOLQQWlPXEl3Yt1ISaGW7m1dVtuzJ5P0wBjSg5zG41g=s800-c-k-c0x00ffffff-no-rj,
Aqua Ch. 湊あくあ,湊あくあ,2期生,UC1opHUrw8rvnsadT-iGp7Cg,https://yt3.ggpht.com/ytc/AKedOLT8eMK0R-4YoVFyKUt3r6jqZA4uq9cHf1hyVv-Oyg=s800-c-k-c0x00ffffff-no-rj,
Rushia Ch. 潤羽るしあ,潤羽るしあ,3期生,UCl_gCybOJRIgOXw6Qb4qJzQ,https://yt3.ggpht.com/ytc/AKedOLS1vIibOCM-xhRmT2qAwQca_hVTz8OnW9c-S9rbJA=s800-c-k-c0x00ffffff-no-rj,
Pekora Ch. 兎田ぺこら,兎田ぺこら,3期生,UC1DCedRgGHBdm81E1llLhOQ,https://yt3.ggpht.com/ytc/AKedOLQQK7jpsudTTDO1JA4mnwyUCCDY5YSzxQrmNEeb7Q=s800-c-k-c0x00ffffff-no-rj,
Noel Ch. 白銀ノエル,白銀ノエル,3期生,UCdyqAaZDKHXg4Ahi7VENThQ,https://yt3.ggpht.com/ytc/AKedOLQLZZyqedcibb5YK_YpdJK0IM-Ld_6BoLyiIARatw=s800-c-k-c0x00ffffff-no-rj,
Marine Ch. 宝鐘マリン,宝鐘マリン,3期生,UCCzUftO8KOVkV4wQG1vkUvg,https://yt3.ggpht.com/ytc/AKedOLSM7GhkxA3mNjSi4SWV62Hq7PjM2epq2Br1xGsZDw=s800-c-k-c0x00ffffff-no-rj,
Flare Ch. 不知火フレア,不知火フレア,3期生,UCvInZx9h3jC2JzsIzoOebWg,https://yt3.ggpht.com/d9aIrGtZR0eI4k1Wnev5f_R4llIBsWnQOjkdsqkMycoAxA3g_zz-jyeBl8tEHfbm1iTg0SJj=s800-c-k-c0x00ffffff-no-rj,
Watame Ch. 角巻わため,角巻わため,4期生,UCqm3BQLlJfvkTsX_hvm0UmA,https://yt3.ggpht.com/ytc/AKedOLTdb5fr9OZHhAvqVa2EI1yLjAGnpwDOs7l3lXhdlg=s800-c-k-c0x00ffffff-no-rj,
Towa Ch. 常闇トワ,常闇トワ,4期生,UC1uv2Oq6kNxgATlCiez59hw,https://yt3.ggpht.com/meRnxbRUm5yPSwq8Q5QpI5maFApm5QTGQV_LGblQFsoO0yAV4LI-nSZ70GYwMZ_tbfSa_O8MTCU=s800-c-k-c0x00ffffff-no-rj,
Luna Ch. 姫森ルーナ,姫森ルーナ,4期生,UCa9Y57gfeY0Zro_noHRVrnw,https://yt3.ggpht.com/O7m_5HMY_O8yxR3Jhn9cEO1fLNL_GifMERExnAmfY7JrdTRsTjNijTcNYTPN97Llj3zGn8Susw=s800-c-k-c0x00ffffff-no-rj,
Kanata Ch. 天音かなた,天音かなた,4期生,UCZlDXzGoo7d44bwdNObFacg,https://yt3.ggpht.com/TlH8nz5O9UYo5JZ_5fo4JfXdT18N0Ck27wWrulni-c1g5bwes0tVmFiSKICzI1SW7itaTkk9GA=s800-c-k-c0x00ffffff-no-rj,
Coco Ch. 桐生ココ,桐生ココ,4期生,UCS9uQI-jC3DE0L4IpXyvr6w,https://yt3.ggpht.com/ytc/AKedOLQUA2htopp_nUXZScvJvh17wlOhSvcjAc-L75meCg=s800-c-k-c0x00ffffff-no-rj,
Polka Ch. 尾丸ポルカ,尾丸ポルカ,5期生,UCK9V2B22uJYu3N7eR_BT9QA,https://yt3.ggpht.com/ytc/AKedOLSNfuszQyKT1RGn7SaYyefnhGiUZsTsWpmjWD9_vw=s800-c-k-c0x00ffffff-no-rj,
